Experiment,Movement_Model,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Optimality_Ratio
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.555,1962,54,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),14.270,1987,53,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),15.505,2023,55,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.320,2007,53,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),19.040,2004,54,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),19.445,1970,55,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),18.765,2001,54,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),16.555,1969,56,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.600,1981,55,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.725,2004,56,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),14.390,2005,54,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.900,1994,53,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.310,2000,56,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),12.470,2013,54,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),16.350,2023,57,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),12.805,1999,56,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),14.840,2023,54,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.395,1990,56,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.480,1979,54,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),12.375,2021,54,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),11.985,1991,56,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.235,1962,55,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.185,2020,57,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),15.230,2065,55,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),12.830,2006,53,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),14.065,2022,55,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.920,2011,55,tbd
1,4-dir,Dijkstra,Large(50x50),Large(20%),13.500,2017,55,tbd
1,4-dir,A*,Large(50x50),Large(20%),3.035,298,54,tbd
1,4-dir,A*,Large(50x50),Large(20%),5.080,406,54,tbd
1,4-dir,A*,Large(50x50),Large(20%),4.675,279,54,tbd
1,4-dir,A*,Large(50x50),Large(20%),8.835,614,57,tbd
1,4-dir,A*,Large(50x50),Large(20%),4.025,447,55,tbd
1,4-dir,A*,Large(50x50),Large(20%),4.755,405,55,tbd
1,4-dir,A*,Large(50x50),Large(20%),11.210,597,57,tbd
1,4-dir,A*,Large(50x50),Large(20%),6.810,320,55,tbd
1,4-dir,A*,Large(50x50),Large(20%),3.365,339,54,tbd
1,4-dir,A*,Large(50x50),Large(20%),3.895,363,55,tbd
1,4-dir,A*,Large(50x50),Large(20%),4.750,448,55,tbd
1,4-dir,A*,Large(50x50),Large(20%),6.685,447,55,tbd
1,4-dir,A*,Large(50x50),Large(20%),3.280,340,54,tbd
1,4-dir,A*,Large(50x50),Large(20%),5.435,445,56,tbd
1,4-dir,A*,Large(50x50),Large(20%),5.420,447,56,tbd
1,4-dir,A*,Large(50x50),Large(20%),2.735,263,54,tbd
1,4-dir,A*,Large(50x50),Large(20%),5.885,556,56,tbd
1,4-dir,A*,Large(50x50),Large(20%),4.960,410,55,tbd
1,4-dir,A*,Large(50x50),Large(20%),6.445,538,56,tbd
1,4-dir,A*,Large(50x50),Large(20%),6.445,1998,NULL,tbd
1,4-dir,A*,Large(50x50),Large(20%),4.190,379,54,tbd
1,4-dir,A*,Large(50x50),Large(20%),6.695,458,54,tbd
1,4-dir,A*,Large(50x50),Large(20%),4.100,326,54,tbd
1,4-dir,A*,Large(50x50),Large(20%),4.555,422,55,tbd
1,4-dir,A*,Large(50x50),Large(20%),5.300,429,56,tbd
1,4-dir,A*,Large(50x50),Large(20%),7.695,339,54,tbd
1,4-dir,A*,Large(50x50),Large(20%),6.765,522,56,tbd
1,4-dir,A*,Large(50x50),Large(20%),6.320,574,56,tbd
1,4-dir,A*,Large(50x50),Large(20%),5.130,473,55,tbd
1,4-dir,A*,Large(50x50),Large(20%),9.890,451,55,tbd
3,8-dir,Dijkstra,50x50,Large(20%),15.355,1983,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),19.105,2009,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),14.135,1984,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),16.745,1986,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),13.715,1995,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),23.370,1979,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),20.675,1974,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),14.680,1946,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,tbd
3,8-dir,Dijkstra,50x50,Large(20%),10.090,1993,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),17.555,2015,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,tbd
3,8-dir,Dijkstra,50x50,Large(20%),11.420,1986,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),13.550,2027,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),13.970,1645,103,tbd
3,8-dir,Dijkstra,50x50,Large(20%),14.325,1687,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,tbd
3,8-dir,Dijkstra,50x50,Large(20%),14.970,1718,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),16.575,1692,101,tbd
3,8-dir,Dijkstra,50x50,Large(20%),9.280,1704,101,tbd
3,8-dir,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,tbd
3,8-dir,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,tbd
3,8-dir,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,tbd
3,8-dir,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,tbd
3,8-dir,Dijkstra,50x50,Large(20%),11.495,1667,101,tbd
3,8-dir,Dijkstra,50x50,Large(20%),11.805,1755,103,tbd
3,8-dir,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,tbd
3,8-dir,Dijkstra,50x50,Large(20%),11.495,1738,99,tbd
3,8-dir,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,tbd
3,8-dir,Dijkstra,50x50,Large(20%),11.225,1632,105,tbd
3,8dir,A*,50x50,Large(20%),6.950,740,105,tbd
3,8dir,A*,50x50,Large(20%),4.705,499,99,tbd
3,8dir,A*,50x50,Large(20%),3.480,361,103,tbd
3,8dir,A*,50x50,Large(20%),3.555,432,99,tbd
3,8dir,A*,50x50,Large(20%),2.030,280,99,tbd
3,8dir,A*,50x50,Large(20%),5.290,568,103,tbd
3,8dir,A*,50x50,Large(20%),4.160,456,99,tbd
3,8dir,A*,50x50,Large(20%),11.405,1194,105,tbd
3,8dir,A*,50x50,Large(20%),2.840,386,99,tbd
3,8dir,A*,50x50,Large(20%),2.590,356,99,tbd
3,8dir,A*,50x50,Large(20%),7.670,896,109,tbd
3,8dir,A*,50x50,Large(20%),2.715,364,99,tbd
3,8dir,A*,50x50,Large(20%),5.995,740,107,tbd
3,8dir,A*,50x50,Large(20%),3.975,404,99,tbd
3,8dir,A*,50x50,Large(20%),4.665,626,101,tbd
3,8dir,A*,50x50,Large(20%),10.335,1086,105,tbd
3,8dir,A*,50x50,Large(20%),2.695,317,103,tbd
3,8dir,A*,50x50,Large(20%),3.790,536,101,tbd
3,8dir,A*,50x50,Large(20%),2.660,293,99,tbd
3,8dir,A*,50x50,Large(20%),4.770,668,103,tbd
3,8dir,A*,50x50,Large(20%),6.605,885,105,tbd
3,8dir,A*,50x50,Large(20%),8.620,934,103,tbd
3,8dir,A*,50x50,Large(20%),3.575,453,99,tbd
3,8dir,A*,50x50,Large(20%),6.095,753,105,tbd
3,8dir,A*,50x50,Large(20%),2.550,316,99,tbd
3,8dir,A*,50x50,Large(20%),2.345,338,101,tbd
3,8dir,A*,50x50,Large(20%),2.310,319,99,tbd
3,8dir,A*,50x50,Large(20%),7.100,860,103,tbd
3,8dir,A*,50x50,Large(20%),7.010,951,109,tbd
3,8dir,A*,50x50,Large(20%),2.865,372,99,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),15.010,456,55,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),12.645,352,54,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),14.085,449,56,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),13.525,478,55,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),10.610,378,55,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),18.845,580,56,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),16.165,320,54,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),12.270,476,55,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),11.120,377,54,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),12.930,410,55,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),8.275,310,54,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),12.730,445,54,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),10.875,511,56,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),6.070,187,53,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),10.165,463,55,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),11.035,433,54,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),10.430,415,54,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),4.000,293,54,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),3.245,146,52,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),53.070,1977,NULL,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),9.925,427,55,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),11.280,483,55,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),9.220,398,54,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),15.135,582,56,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),13.565,554,56,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),16.920,725,57,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),9.620,400,55,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),11.610,450,54,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),6.035,329,54,tbd
1,4-dir,D*_Lite,Large(50x50),Large(20%),5.525,236,53,tbd
3,8-dir,D*_Lite,50x50,Large(20%),17.640,568,99,tbd
3,8-dir,D*_Lite,50x50,Large(20%),0.685,2,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),0.305,4,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),16.185,680,99,tbd
3,8-dir,D*_Lite,50x50,Large(20%),30.315,1702,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),8.965,602,99,tbd
3,8-dir,D*_Lite,50x50,Large(20%),9.655,604,99,tbd
3,8-dir,D*_Lite,50x50,Large(20%),12.435,747,101,tbd
3,8-dir,D*_Lite,50x50,Large(20%),13.215,501,101,tbd
3,8-dir,D*_Lite,50x50,Large(20%),0.280,14,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),10.555,616,99,tbd
3,8-dir,D*_Lite,50x50,Large(20%),5.175,497,99,tbd
3,8-dir,D*_Lite,50x50,Large(20%),6.455,425,101,tbd
3,8-dir,D*_Lite,50x50,Large(20%),13.320,760,101,tbd
3,8-dir,D*_Lite,50x50,Large(20%),11.355,454,99,tbd
3,8-dir,D*_Lite,50x50,Large(20%),0.200,4,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),9.945,443,101,tbd
3,8-dir,D*_Lite,50x50,Large(20%),0.105,2,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),29.330,1577,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),7.460,534,99,tbd
3,8-dir,D*_Lite,50x50,Large(20%),10.620,694,101,tbd
3,8-dir,D*_Lite,50x50,Large(20%),29.975,1723,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),0.290,2,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),0.115,1,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),8.875,540,99,tbd
3,8-dir,D*_Lite,50x50,Large(20%),24.360,1669,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),6.385,500,101,tbd
3,8-dir,D*_Lite,50x50,Large(20%),0.115,3,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),0.220,1,NULL,tbd
3,8-dir,D*_Lite,50x50,Large(20%),14.890,832,101,tbd
